Sample	Tissue
GTEX.11TUW.1226.SM.5GU7C	Esophagus
GTEX.12BJ1.1426.SM.5BC5Q	Esophagus
GTEX.12C56.1126.SM.5FQTO	Esophagus
GTEX.12WSN.5016.SM.7DUGY	Esophagus
GTEX.131XE.1226.SM.5EGKF	Esophagus
GTEX.131XF.0926.SM.5BC69	Esophagus
GTEX.131XG.0926.SM.5LZW5	Esophagus
GTEX.139TU.1326.SM.5LZXW	Esophagus
GTEX.139YR.1626.SM.5IJGK	Esophagus
GTEX.13CF3.1526.SM.5J2NB	Esophagus
GTEX.13D11.1826.SM.5J2NM	Esophagus
GTEX.13FH7.0726.SM.5J2NK	Esophagus
GTEX.13FHO.1826.SM.5K7Y6	Esophagus
GTEX.13FHP.1626.SM.5N9FK	Esophagus
GTEX.13FLV.1226.SM.5IJBZ	Esophagus
GTEX.13FTW.1526.SM.5LZXC	Esophagus
GTEX.13G51.1026.SM.5K7YQ	Esophagus
GTEX.13NYB.0826.SM.5MR4V	Esophagus
GTEX.13O1R.1526.SM.5J1O7	Esophagus
GTEX.13O21.0826.SM.5J2NU	Esophagus
GTEX.13O3P.1326.SM.5K7Y8	Esophagus
GTEX.13O61.1026.SM.5L3F6	Esophagus
GTEX.13OVG.0926.SM.5J2OJ	Esophagus
GTEX.13QJ3.1826.SM.5S2PT	Esophagus
GTEX.13RTJ.1426.SM.793B3	Esophagus
GTEX.13RTK.0626.SM.5Q5EK	Esophagus
GTEX.13S86.0726.SM.5Q5DH	Esophagus
GTEX.13SLX.1926.SM.5ZZUR	Esophagus
GTEX.13U4I.1226.SM.5LU5M	Esophagus
GTEX.13W3W.1726.SM.5LU4A	Esophagus
GTEX.13X6H.1426.SM.5SI91	Esophagus
GTEX.13X6J.1626.SM.5Q5CV	Esophagus
GTEX.13X6K.2226.SM.79OMI	Esophagus
GTEX.13YAN.2026.SM.5Q5EY	Esophagus
GTEX.144GL.2226.SM.79OMD	Esophagus
GTEX.144GM.1526.SM.79OJM	Esophagus
GTEX.145LT.1226.SM.5Q5BZ	Esophagus
GTEX.145LV.1426.SM.5Q5BV	Esophagus
GTEX.1117F.0726.SM.5GIEN	Heart
GTEX.11NV4.0826.SM.5BC4S	Heart
GTEX.11O72.1026.SM.5986B	Heart
GTEX.11ONC.1026.SM.5GU64	Heart
GTEX.11P81.0526.SM.59873	Heart
GTEX.11TT1.1426.SM.5EGIA	Heart
GTEX.11TUW.1126.SM.5EQKJ	Heart
GTEX.12BJ1.0326.SM.5FQUB	Heart
GTEX.12WSN.0226.SM.5DUXH	Heart
GTEX.12ZZX.0726.SM.5EGKA	Heart
GTEX.1313W.1126.SM.5EQ5U	Heart
GTEX.131XE.0526.SM.5K7YT	Heart
GTEX.131XF.0426.SM.5HL7U	Heart
GTEX.131XG.0526.SM.5DUWF	Heart
GTEX.139TU.1926.SM.5J2OC	Heart
GTEX.139YR.0526.SM.5L3DG	Heart
GTEX.13CF2.0226.SM.5L3DV	Heart
GTEX.13D11.1526.SM.5J2NA	Heart
GTEX.13FH7.0826.SM.5J2NW	Heart
GTEX.13FHO.1226.SM.5L3EF	Heart
GTEX.13FHP.0826.SM.5K7V5	Heart
GTEX.13FTW.0826.SM.5K7XR	Heart
GTEX.13FTZ.0326.SM.5J1O1	Heart
GTEX.13FXS.1026.SM.62LFQ	Heart
GTEX.13JUV.0226.SM.5IJCC	Heart
GTEX.13JVG.1126.SM.5KM2M	Heart
GTEX.13N11.0726.SM.5L3DP	Heart
GTEX.13N1W.0926.SM.5MR36	Heart
GTEX.13NYB.0326.SM.5IJDP	Heart
GTEX.13NYS.1926.SM.5IJCB	Heart
GTEX.13NZ9.0126.SM.5K7XV	Heart
GTEX.13NZA.0826.SM.5K7WS	Heart
GTEX.13NZB.0426.SM.5KM26	Heart
GTEX.13O1R.0926.SM.5L3DS	Heart
GTEX.13O21.0326.SM.5J1N9	Heart
GTEX.13O3O.1426.SM.5KM2S	Heart
GTEX.13O3P.1426.SM.5L3DT	Heart
GTEX.13O3Q.0326.SM.5L3FE	Heart
GTEX.13O61.0426.SM.5L3ET	Heart
GTEX.13OVG.0426.SM.5KM2T	Heart
GTEX.13RTJ.0526.SM.62LDP	Heart
GTEX.13S86.0326.SM.5SI6K	Heart
GTEX.13SLW.0826.SM.5QGP7	Heart
GTEX.13SLX.0926.SM.5S2NM	Heart
GTEX.13U4I.0626.SM.5LU5L	Heart
GTEX.13VXT.0726.SM.5SIAD	Heart
GTEX.13W3W.0526.SM.5LU3X	Heart
GTEX.13X6J.1226.SM.79OMF	Heart
GTEX.13X6K.1726.SM.7IGLG	Heart
GTEX.13YAN.1426.SM.7EPG8	Heart
GTEX.1445S.1226.SM.5O9BF	Heart
GTEX.144GL.1026.SM.5O99R	Heart
GTEX.145LS.1326.SM.5Q5EP	Heart
GTEX.145LV.0226.SM.5S2QG	Heart
GTEX.11O72.1126.SM.5N9E2	Heart
GTEX.11ONC.0126.SM.5PNW6	Heart
GTEX.11TT1.1326.SM.5PNYM	Heart
GTEX.11TUW.1026.SM.5GU7D	Heart
GTEX.12BJ1.0226.SM.5LUA2	Heart
GTEX.12WSN.5001.SM.7DHMK	Heart
GTEX.12ZZW.1026.SM.5GCMM	Heart
GTEX.1313W.1426.SM.5KLZU	Heart
GTEX.1314G.0126.SM.5LZUL	Heart
GTEX.131XE.0626.SM.5HL98	Heart
GTEX.131XF.5001.SM.7DHLY	Heart
GTEX.131XG.0626.SM.5GCMP	Heart
GTEX.131XH.0226.SM.5LZVB	Heart
GTEX.139YR.0826.SM.5LZXY	Heart
GTEX.13CF2.0426.SM.5KM1H	Heart
GTEX.13CF3.0726.SM.5J2MY	Heart
GTEX.13D11.1726.SM.5IFGQ	Heart
GTEX.13FH7.0926.SM.5J2MR	Heart
GTEX.13FHP.1026.SM.5K7Y2	Heart
GTEX.13FLV.0926.SM.5L3DZ	Heart
GTEX.13FTW.1026.SM.5L3E3	Heart
GTEX.13FTZ.0226.SM.5K7X6	Heart
GTEX.13JVG.1326.SM.5N9F8	Heart
GTEX.13N11.0426.SM.5KM3O	Heart
GTEX.13N1W.1026.SM.5IJC5	Heart
GTEX.13NYB.0226.SM.5N9G4	Heart
GTEX.13NZB.0226.SM.5KM1T	Heart
GTEX.13O1R.1226.SM.5J1NU	Heart
GTEX.13O21.2326.SM.5MR3X	Heart
GTEX.13O3O.1526.SM.5KM1C	Heart
GTEX.13O3P.1626.SM.5K7X3	Heart
GTEX.13O61.0526.SM.5J2M1	Heart
GTEX.13OVG.0526.SM.5K7YD	Heart
GTEX.13RTJ.0726.SM.5QGQN	Heart
GTEX.13S86.0226.SM.5S2PJ	Heart
GTEX.13SLX.1026.SM.5ZZUQ	Heart
GTEX.13U4I.0826.SM.5SIBD	Heart
GTEX.13VXT.1126.SM.5LU3A	Heart
GTEX.13W3W.0426.SM.5SI9D	Heart
GTEX.13X6H.0426.SM.5LU4E	Heart
GTEX.13X6I.1426.SM.5SI9Z	Heart
GTEX.13X6K.1826.SM.5O9CR	Heart
GTEX.145LV.0326.SM.5Q5BW	Heart
GTEX.11OF3.1326.SM.5N9FJ	Kidney
GTEX.11TTK.1926.SM.5PNW8	Kidney
GTEX.13NYB.1726.SM.5N9G2	Kidney
GTEX.13O1R.2526.SM.5N9FW	Kidney
GTEX.13RTJ.2226.SM.5S2Q1	Kidney
GTEX.11NV4.1326.SM.5HL6V	Liver
GTEX.11OF3.0726.SM.5BC4Z	Liver
GTEX.11TT1.1726.SM.5EQLJ	Liver
GTEX.11TUW.1726.SM.5BC5C	Liver
GTEX.12WSM.0726.SM.5GCOW	Liver
GTEX.131XE.0326.SM.5LZVO	Liver
GTEX.131XH.0626.SM.5LZWH	Liver
GTEX.139TS.1426.SM.5IFJD	Liver
GTEX.139TU.0826.SM.5IJFG	Liver
GTEX.139YR.0226.SM.5IFEM	Liver
GTEX.13FLV.0326.SM.5N9DJ	Liver
GTEX.13FTW.1126.SM.5J2NV	Liver
GTEX.13FTZ.0726.SM.5IFFY	Liver
GTEX.13N11.0926.SM.5IJG2	Liver
GTEX.13N2G.0926.SM.5IFGJ	Liver
GTEX.13NYB.1026.SM.5IFH3	Liver
GTEX.13NZ9.1326.SM.5MR3V	Liver
GTEX.13NZB.0626.SM.5IFH6	Liver
GTEX.13O1R.2026.SM.5KM3N	Liver
GTEX.13O3O.1826.SM.5IFGW	Liver
GTEX.13QJC.0726.SM.5RQJK	Liver
GTEX.13SLX.1226.SM.5S2Q6	Liver
GTEX.13VXU.0926.SM.5IFFH	Liver
GTEX.13X6J.1826.SM.5TDCT	Liver
GTEX.144GL.1426.SM.79OMA	Liver
GTEX.144GM.1326.SM.5LU5E	Liver
GTEX.145LU.1326.SM.5LU9N	Liver
GTEX.111CU.0326.SM.5GZXO	Lung
GTEX.11NV4.1126.SM.5HL6J	Lung
GTEX.11O72.1326.SM.5BC5A	Lung
GTEX.11OF3.1126.SM.5986C	Lung
GTEX.11P7K.0326.SM.59871	Lung
GTEX.11P81.0226.SM.5HL5M	Lung
GTEX.11PRG.0926.SM.5EGI8	Lung
GTEX.11TT1.1626.SM.5EQL7	Lung
GTEX.11TUW.0526.SM.5LU9A	Lung
GTEX.12BJ1.1026.SM.5EGJA	Lung
GTEX.12KS4.0726.SM.5FQSX	Lung
GTEX.12WSN.5004.SM.793CE	Lung
GTEX.12ZZW.0926.SM.5LZUD	Lung
GTEX.13113.5004.SM.79ONL	Lung
GTEX.1313W.0926.SM.5EQ56	Lung
GTEX.131XE.0726.SM.5HL9K	Lung
GTEX.131XF.1026.SM.5BC6A	Lung
GTEX.131XH.0426.SM.5DUWU	Lung
GTEX.131XW.1126.SM.5EGK4	Lung
GTEX.139TT.0726.SM.5K7XW	Lung
GTEX.139UW.0226.SM.5K7WU	Lung
GTEX.139YR.0926.SM.5LZYB	Lung
GTEX.13CF3.0426.SM.5IJEU	Lung
GTEX.13D11.0326.SM.5LZXX	Lung
GTEX.13FH7.1726.SM.5IJE7	Lung
GTEX.13FHO.1026.SM.5KM1Q	Lung
GTEX.13FHP.0726.SM.5K7YI	Lung
GTEX.13FLV.0426.SM.5KLZA	Lung
GTEX.13FTX.0326.SM.5J2NG	Lung
GTEX.13FTY.0126.SM.5J2NZ	Lung
GTEX.13FTZ.0526.SM.5IJCW	Lung
GTEX.13G51.0426.SM.5K7Z5	Lung
GTEX.13JUV.0526.SM.5K7XE	Lung
GTEX.13JVG.1426.SM.5MR4W	Lung
GTEX.13N11.0326.SM.5LUA3	Lung
GTEX.13N1W.0726.SM.5MR57	Lung
GTEX.13N2G.0826.SM.5IJE6	Lung
GTEX.13NYB.0626.SM.5MR47	Lung
GTEX.13NYS.1626.SM.5J2MU	Lung
GTEX.13NZ8.0326.SM.5L3DF	Lung
GTEX.13NZ9.0926.SM.5KM12	Lung
GTEX.13NZA.1426.SM.5KM4Y	Lung
GTEX.13O21.3026.SM.5J2NI	Lung
GTEX.13O3O.0726.SM.5J1N7	Lung
GTEX.13O3P.1026.SM.5N9E7	Lung
GTEX.13O3Q.0526.SM.5KM18	Lung
GTEX.13O61.0726.SM.5J2MD	Lung
GTEX.13OVG.0326.SM.5KM57	Lung
GTEX.13OVH.1026.SM.5J2NP	Lung
GTEX.13QJ3.1026.SM.5QGQU	Lung
GTEX.13QJC.0526.SM.5RQKB	Lung
GTEX.13RTJ.1126.SM.5S2UJ	Lung
GTEX.13S7M.2126.SM.5S2QR	Lung
GTEX.13S86.0626.SM.5Q5E7	Lung
GTEX.13SLW.1226.SM.5S2Q7	Lung
GTEX.13U4I.1426.SM.5J2M3	Lung
GTEX.13VXT.1426.SM.5LU4B	Lung
GTEX.13VXU.2726.SM.5LU4N	Lung
GTEX.13W3W.0326.SM.731DS	Lung
GTEX.13X6K.1626.SM.7EWCX	Lung
GTEX.13YAN.1026.SM.5O9CF	Lung
GTEX.144GM.0126.SM.5Q5AX	Lung
GTEX.144GN.0426.SM.5O9AP	Lung
GTEX.144GO.0226.SM.5LUB1	Lung
GTEX.145LS.1226.SM.5Q5D9	Lung
GTEX.145LT.0326.SM.5LUAD	Lung
GTEX.145LU.0526.SM.5O9AT	Lung
GTEX.145ME.0226.SM.5S2QN	Lung
GTEX.1117F.3026.SM.5GZYU	Salivary Gland
GTEX.11NV4.1926.SM.5N9D4	Salivary Gland
GTEX.11P81.2026.SM.5P9GT	Salivary Gland
GTEX.11P82.0926.SM.5986X	Salivary Gland
GTEX.11TUW.2426.SM.5EQKB	Salivary Gland
GTEX.12BJ1.2226.SM.5BC6G	Salivary Gland
GTEX.12WSM.1826.SM.5BC64	Salivary Gland
GTEX.12WSN.2226.SM.5DUXT	Salivary Gland
GTEX.13113.1526.SM.5EGHV	Salivary Gland
GTEX.1314G.2026.SM.5LZUM	Salivary Gland
GTEX.131XF.2826.SM.5EGKH	Salivary Gland
GTEX.131XH.2626.SM.5GCNP	Salivary Gland
GTEX.13CF2.2426.SM.5LZYL	Salivary Gland
GTEX.13G51.2426.SM.5LZY8	Salivary Gland
GTEX.13JVG.2926.SM.5J2N9	Salivary Gland
GTEX.13NYB.2426.SM.5IFF4	Salivary Gland
GTEX.13O21.1926.SM.5MR39	Salivary Gland
GTEX.13QJC.2326.SM.5Q5CD	Salivary Gland
GTEX.13VXT.1726.SM.5IFF5	Salivary Gland
GTEX.1445S.2926.SM.5O993	Salivary Gland
GTEX.1117F.0426.SM.5EGHI	Muscle
GTEX.111CU.2026.SM.5GZZC	Muscle
GTEX.111FC.0326.SM.5GZZ1	Muscle
GTEX.11O72.0326.SM.5986D	Muscle
GTEX.11OC5.0326.SM.5PNW5	Muscle
GTEX.11OF3.2526.SM.5P9JL	Muscle
GTEX.11ONC.2426.SM.5GU7H	Muscle
GTEX.11P7K.1926.SM.5GU6R	Muscle
GTEX.11P81.2526.SM.5GU6H	Muscle
GTEX.11P82.1826.SM.5PNYJ	Muscle
GTEX.11PRG.0326.SM.5GU53	Muscle
GTEX.11TT1.2326.SM.5GU6N	Muscle
GTEX.11TTK.0326.SM.5BC5N	Muscle
GTEX.11TUW.2526.SM.5EQKN	Muscle
GTEX.12BJ1.2526.SM.5FQUE	Muscle
GTEX.12C56.1926.SM.5FQUG	Muscle
GTEX.12KS4.0826.SM.5BC5R	Muscle
GTEX.12WSN.2526.SM.5LZU8	Muscle
GTEX.12ZZX.0326.SM.5DUVH	Muscle
GTEX.13113.5019.SM.7EPH2	Muscle
GTEX.1313W.0526.SM.5P9FZ	Muscle
GTEX.1314G.1726.SM.5LZUX	Muscle
GTEX.131XE.2726.SM.5P9G7	Muscle
GTEX.131XF.2326.SM.5BC6B	Muscle
GTEX.131XG.2326.SM.5HL8F	Muscle
GTEX.131XH.2726.SM.5GCO2	Muscle
GTEX.131XW.0326.SM.5KM1J	Muscle
GTEX.131YS.0526.SM.5EGKJ	Muscle
GTEX.139T6.2026.SM.5IFFL	Muscle
GTEX.139TS.2626.SM.5J1MT	Muscle
GTEX.139TT.0426.SM.5IJFA	Muscle
GTEX.139TU.0526.SM.5J2M8	Muscle
GTEX.139UW.2626.SM.5K7W1	Muscle
GTEX.139YR.2526.SM.5IJC6	Muscle
GTEX.13CF2.2726.SM.5LZWW	Muscle
GTEX.13CF3.1826.SM.5J1NK	Muscle
GTEX.13D11.2526.SM.5KM28	Muscle
GTEX.13FH7.2126.SM.5L3DJ	Muscle
GTEX.13FHO.0726.SM.5IJDG	Muscle
GTEX.13FHP.0526.SM.5K7UY	Muscle
GTEX.13FTW.2326.SM.5K7YS	Muscle
GTEX.13FTX.2026.SM.5L3D6	Muscle
GTEX.13FTY.0226.SM.5IJBW	Muscle
GTEX.13FTZ.2226.SM.5LZXI	Muscle
GTEX.13FXS.0326.SM.5K7TV	Muscle
GTEX.13G51.2726.SM.5LZZ9	Muscle
GTEX.13IVO.0626.SM.5LZYJ	Muscle
GTEX.13JUV.2326.SM.5IJCE	Muscle
GTEX.13JVG.0126.SM.5L3D3	Muscle
GTEX.13N11.2726.SM.5L3ER	Muscle
GTEX.13N1W.0526.SM.5MR4I	Muscle
GTEX.13N2G.2326.SM.5J1ON	Muscle
GTEX.13NYB.2726.SM.5J2MT	Muscle
GTEX.13NYC.0726.SM.5J2NQ	Muscle
GTEX.13NYS.0326.SM.5MR4L	Muscle
GTEX.13NZ8.2126.SM.5L3EO	Muscle
GTEX.13NZ9.0626.SM.5IJCO	Muscle
GTEX.13NZA.0526.SM.5L3D7	Muscle
GTEX.13NZB.2626.SM.5J2M7	Muscle
GTEX.13O1R.0526.SM.5K7XU	Muscle
GTEX.13O21.1726.SM.5MR5A	Muscle
GTEX.13O3O.0526.SM.5J1NL	Muscle
GTEX.13O3P.0626.SM.5L3D5	Muscle
GTEX.13O3Q.2726.SM.5KM51	Muscle
GTEX.13O61.2326.SM.5J1NJ	Muscle
GTEX.13OVG.2126.SM.5KM1K	Muscle
GTEX.13OVH.0626.SM.5L3EI	Muscle
GTEX.13QJ3.0726.SM.5SI68	Muscle
GTEX.13RTJ.2726.SM.73KVG	Muscle
GTEX.13RTK.1626.SM.5QGQS	Muscle
GTEX.13RTL.0326.SM.7LT89	Muscle
GTEX.13S86.2326.SM.5RQK1	Muscle
GTEX.13SLW.0326.SM.5RQK5	Muscle
GTEX.13SLX.0326.SM.5Q5E4	Muscle
GTEX.13U4I.1826.SM.5IJD2	Muscle
GTEX.13VXT.0326.SM.5LU4U	Muscle
GTEX.13VXU.0326.SM.5LU36	Muscle
GTEX.13W3W.2626.SM.5SIA2	Muscle
GTEX.13W46.0726.SM.5LU3Z	Muscle
GTEX.13X6H.2326.SM.7EWEB	Muscle
GTEX.13X6I.0526.SM.5QGP8	Muscle
GTEX.13X6J.0326.SM.7EPGD	Muscle
GTEX.13X6K.0326.SM.5Q5D6	Muscle
GTEX.13YAN.0526.SM.5O9BE	Muscle
GTEX.1445S.0626.SM.5LU3C	Muscle
GTEX.144FL.0326.SM.5O99O	Muscle
GTEX.144GL.0326.SM.5QGOY	Muscle
GTEX.144GM.2026.SM.5LU3D	Muscle
GTEX.144GN.2426.SM.5LU4R	Muscle
GTEX.144GO.1326.SM.5Q5EL	Muscle
GTEX.145LS.0526.SM.5LU8Y	Muscle
GTEX.145LT.1626.SM.5O992	Muscle
GTEX.145LU.2026.SM.5Q5E8	Muscle
GTEX.145LV.2326.SM.5LU8Z	Muscle
GTEX.111CU.2226.SM.5N9G5	Nerve
GTEX.11O72.0526.SM.5Q5AO	Nerve
GTEX.11OC5.0526.SM.5N9EE	Nerve
GTEX.11ONC.2326.SM.5HL6P	Nerve
GTEX.11P7K.2226.SM.5GU56	Nerve
GTEX.11P81.2626.SM.5GU6T	Nerve
GTEX.11P82.1926.SM.5Q5AU	Nerve
GTEX.11PRG.0126.SM.5BC55	Nerve
GTEX.11TT1.2626.SM.5EGL2	Nerve
GTEX.11TTK.0426.SM.5EQLT	Nerve
GTEX.12BJ1.2626.SM.5FQUF	Nerve
GTEX.12C56.1826.SM.5EQ6D	Nerve
GTEX.12ZZX.0426.SM.5DUVT	Nerve
GTEX.12ZZY.0426.SM.5LZW3	Nerve
GTEX.13113.2026.SM.5LZU3	Nerve
GTEX.1313W.0326.SM.5LZU5	Nerve
GTEX.1314G.1826.SM.5LZVA	Nerve
GTEX.131XE.2526.SM.5EQ57	Nerve
GTEX.131XF.2426.SM.5BC6C	Nerve
GTEX.131XG.2526.SM.5HL7F	Nerve
GTEX.131XH.2526.SM.5GCND	Nerve
GTEX.131XW.0126.SM.5LZWD	Nerve
GTEX.131YS.0326.SM.5PNYW	Nerve
GTEX.139T6.1726.SM.5PNZ3	Nerve
GTEX.139T8.0326.SM.5IJCM	Nerve
GTEX.139TT.0326.SM.5IJC3	Nerve
GTEX.139TU.0326.SM.62LFK	Nerve
GTEX.139YR.2626.SM.5K7U4	Nerve
GTEX.13CF2.2826.SM.5LZX9	Nerve
GTEX.13D11.2626.SM.5IJDB	Nerve
GTEX.13FH7.2426.SM.5K7US	Nerve
GTEX.13FHO.0526.SM.5K7VS	Nerve
GTEX.13FHP.0326.SM.5K7U2	Nerve
GTEX.13FLV.2326.SM.5K7UK	Nerve
GTEX.13FTY.0326.SM.5L3DN	Nerve
GTEX.13G51.2826.SM.5LZWV	Nerve
GTEX.13IVO.0426.SM.5LZY7	Nerve
GTEX.13JUV.2526.SM.5J1OD	Nerve
GTEX.13JVG.0526.SM.5IJBN	Nerve
GTEX.13N11.2826.SM.5KM4Z	Nerve
GTEX.13N1W.0426.SM.5MR46	Nerve
GTEX.13NYC.0626.SM.5K7U8	Nerve
GTEX.13NYS.0426.SM.5MR4X	Nerve
GTEX.13NZ9.0726.SM.5J1ME	Nerve
GTEX.13NZA.0326.SM.5J1MK	Nerve
GTEX.13O1R.0426.SM.5K7WG	Nerve
GTEX.13O21.1826.SM.5MR5M	Nerve
GTEX.13O3O.0326.SM.5K7W2	Nerve
GTEX.13O3P.0326.SM.5K7VM	Nerve
GTEX.13O3Q.2626.SM.5KM3S	Nerve
GTEX.13O61.2626.SM.5KM4U	Nerve
GTEX.13OVG.2226.SM.5K7V8	Nerve
GTEX.13RTJ.2826.SM.5QGQH	Nerve
GTEX.13S7M.0426.SM.5S2US	Nerve
GTEX.13S86.2426.SM.5S2MX	Nerve
GTEX.13SLX.0126.SM.5S2MM	Nerve
GTEX.13VXT.0426.SM.5LU57	Nerve
GTEX.13VXU.0426.SM.5LU3I	Nerve
GTEX.13W3W.2726.SM.5SIAE	Nerve
GTEX.13W46.0526.SM.5IJBD	Nerve
GTEX.13X6J.0426.SM.5O9D3	Nerve
GTEX.13X6K.0426.SM.5O9DZ	Nerve
GTEX.13YAN.0626.SM.5O9BQ	Nerve
GTEX.144FL.0426.SM.5O9A1	Nerve
GTEX.144GL.0426.SM.5QGOZ	Nerve
GTEX.144GM.2126.SM.5LU3P	Nerve
GTEX.144GN.2526.SM.5LU54	Nerve
GTEX.145LT.1926.SM.5QGP5	Nerve
GTEX.145LU.0726.SM.5QGP2	Nerve
GTEX.145LV.2526.SM.5S2VA	Nerve
GTEX.1117F.2226.SM.5N9CH	Ovary
GTEX.11P81.1526.SM.5P9GS	Ovary
GTEX.12ZZX.2026.SM.5LZV9	Ovary
GTEX.1313W.2726.SM.5P9IX	Ovary
GTEX.131XG.1926.SM.5LZVG	Ovary
GTEX.13D11.1126.SM.5KLYS	Ovary
GTEX.13FTX.0926.SM.5IFF7	Ovary
GTEX.13N11.0526.SM.5IJFI	Ovary
GTEX.13O3O.2726.SM.5KM35	Ovary
GTEX.13SLX.2426.SM.664OM	Ovary
GTEX.13U4I.2126.SM.5LU55	Ovary
GTEX.13VXT.1526.SM.5LU3J	Ovary
GTEX.13W3W.1526.SM.5LU5I	Ovary
GTEX.13X6H.1026.SM.5SIBE	Ovary
GTEX.145LS.2326.SM.5TDCY	Ovary
GTEX.145ME.1226.SM.5SIB6	Ovary
GTEX.111CU.0526.SM.5EGHK	Pancreas
GTEX.11ONC.0526.SM.5BC57	Pancreas
GTEX.11P7K.0526.SM.5BC5I	Pancreas
GTEX.11TT1.0326.SM.5LUAY	Pancreas
GTEX.12BJ1.1126.SM.5EGGG	Pancreas
GTEX.12WSN.0826.SM.5GCOF	Pancreas
GTEX.131XE.1926.SM.5IFER	Pancreas
GTEX.131XF.1426.SM.5BC68	Pancreas
GTEX.131XG.1426.SM.5GCMO	Pancreas
GTEX.139YR.1526.SM.5IFJ1	Pancreas
GTEX.13CF3.1026.SM.5LZWY	Pancreas
GTEX.13D11.2226.SM.5IFEO	Pancreas
GTEX.13FH7.1426.SM.5IFIC	Pancreas
GTEX.13FLV.0626.SM.5IFEY	Pancreas
GTEX.13FTW.0526.SM.5IFIP	Pancreas
GTEX.13FTX.1226.SM.5IFGN	Pancreas
GTEX.13N11.0226.SM.5KM3C	Pancreas
GTEX.13O1R.1826.SM.5KM3B	Pancreas
GTEX.13O61.2126.SM.5IJEO	Pancreas
GTEX.13SLX.1326.SM.5S2QS	Pancreas
GTEX.13U4I.1526.SM.5IFFF	Pancreas
GTEX.13VXT.1226.SM.5LU3M	Pancreas
GTEX.13W3W.1026.SM.5IFG4	Pancreas
GTEX.13X6H.0626.SM.5LU53	Pancreas
GTEX.13YAN.2126.SM.5Q5C4	Pancreas
GTEX.144FL.1526.SM.5Q5CA	Pancreas
GTEX.144GM.0726.SM.79OJQ	Pancreas
GTEX.144GN.0826.SM.5LU5G	Pancreas
GTEX.145ME.0326.SM.5S2QO	Pancreas
GTEX.11NV4.2326.SM.5BC4X	Pituitary
GTEX.11O72.3026.SM.5986R	Pituitary
GTEX.11OF3.3026.SM.5GU52	Pituitary
GTEX.11ONC.2826.SM.5P9GQ	Pituitary
GTEX.1269C.3226.SM.5EGKT	Pituitary
GTEX.12WSM.2226.SM.5DUVS	Pituitary
GTEX.12ZZW.3026.SM.5LZW7	Pituitary
GTEX.12ZZX.3026.SM.5GCP3	Pituitary
GTEX.1313W.3226.SM.5LZUU	Pituitary
GTEX.131XW.3226.SM.5LZUO	Pituitary
GTEX.139TS.2926.SM.5KM1Z	Pituitary
GTEX.139TT.2726.SM.5IJFM	Pituitary
GTEX.13CF2.3226.SM.5IFF6	Pituitary
GTEX.13FHO.3126.SM.5IJF6	Pituitary
GTEX.13FHP.3126.SM.5KLYX	Pituitary
GTEX.13FTY.2826.SM.5J2ML	Pituitary
GTEX.13G51.3226.SM.5IFG7	Pituitary
GTEX.13IVO.3026.SM.5J2M2	Pituitary
GTEX.13JUV.2626.SM.5N9EB	Pituitary
GTEX.13JVG.3026.SM.5IJEV	Pituitary
GTEX.13N1W.3126.SM.5IFHB	Pituitary
GTEX.13N2G.2926.SM.5IJEE	Pituitary
GTEX.13NYS.2926.SM.5IFGH	Pituitary
GTEX.13NZA.3126.SM.5IJFU	Pituitary
GTEX.13O1R.3226.SM.5KM58	Pituitary
GTEX.13QJC.3326.SM.664OS	Pituitary
GTEX.13RTJ.2926.SM.5Q5DE	Pituitary
GTEX.13SLW.2926.SM.5Q5BQ	Pituitary
GTEX.13SLX.3026.SM.5RQJU	Pituitary
GTEX.13VXU.3126.SM.5SIA4	Pituitary
GTEX.13X6J.3126.SM.5Q5EJ	Pituitary
GTEX.13X6K.3026.SM.5QGPA	Pituitary
GTEX.1445S.3226.SM.5TDE1	Pituitary
GTEX.144GL.3126.SM.5TDDM	Pituitary
GTEX.145LS.3226.SM.5TDCA	Pituitary
GTEX.145LU.2826.SM.5TDD1	Pituitary
GTEX.111CU.1526.SM.5N9FS	Prostate
GTEX.11O72.2726.SM.5HL6K	Prostate
GTEX.11OF3.1726.SM.5GU5Q	Prostate
GTEX.11P7K.0626.SM.5985Z	Prostate
GTEX.11P82.1126.SM.5BC5K	Prostate
GTEX.11TT1.2026.SM.5EQM8	Prostate
GTEX.11TUW.2126.SM.5GU7B	Prostate
GTEX.12BJ1.1226.SM.5LUAE	Prostate
GTEX.12C56.1326.SM.5FQSV	Prostate
GTEX.131XF.5013.SM.7EWFI	Prostate
GTEX.139T6.1526.SM.5P9G6	Prostate
GTEX.13FHO.2826.SM.5K7ZA	Prostate
GTEX.13FTW.1226.SM.5LZZ1	Prostate
GTEX.13FXS.2826.SM.5LZYC	Prostate
GTEX.13G51.2326.SM.5LZXV	Prostate
GTEX.13N2G.1826.SM.5KM1I	Prostate
GTEX.13NYS.1026.SM.5KLZT	Prostate
GTEX.13O21.1126.SM.5N9EV	Prostate
GTEX.13O61.1726.SM.5KM46	Prostate
GTEX.13RTJ.2126.SM.5S2PZ	Prostate
GTEX.144GM.0826.SM.5O98R	Prostate
GTEX.145LT.0626.SM.5O99E	Prostate
GTEX.145LU.2126.SM.5Q5E9	Prostate
GTEX.145LV.1226.SM.5S2QH	Prostate
GTEX.1117F.2926.SM.5GZYI	Skin
