Sample	Tissue
GTEX.13RTJ.2626.SM.7DHKR	Blood Vessel
GTEX.13RTK.1826.SM.5S2P3	Blood Vessel
GTEX.13RTL.0426.SM.7LG66	Blood Vessel
GTEX.13S86.2526.SM.5S2V5	Blood Vessel
GTEX.13U4I.0426.SM.5LU4W	Blood Vessel
GTEX.13VXT.0526.SM.5SI9O	Blood Vessel
GTEX.13VXU.0526.SM.5K7V1	Blood Vessel
GTEX.13W3W.2826.SM.731E5	Blood Vessel
GTEX.13W46.0626.SM.5LU3N	Blood Vessel
GTEX.13X6H.2526.SM.5QGOT	Blood Vessel
GTEX.13X6K.0526.SM.5LU51	Blood Vessel
GTEX.144GL.0526.SM.5LU41	Blood Vessel
GTEX.144GM.2226.SM.5O9B5	Blood Vessel
GTEX.145LS.0426.SM.5LU8M	Blood Vessel
GTEX.145LU.0826.SM.79OJJ	Blood Vessel
GTEX.12ZZW.0011.R4a.SM.5DUX9	Brain
GTEX.1313W.0011.R4b.SM.5KLZV	Brain
GTEX.131XH.0011.R4b.SM.5DUWB	Brain
GTEX.131YS.0011.R4a.SM.5DUVL	Brain
GTEX.139T8.0011.R4a.SM.5HL54	Brain
GTEX.13CZV.0011.R4b.SM.5J2NY	Brain
GTEX.13FLV.0011.R4a.SM.5LZYU	Brain
GTEX.13JVG.0011.R4a.SM.5MR4C	Brain
GTEX.13N1W.0011.R4a.SM.5MR52	Brain
GTEX.13N2G.0011.R4b.SM.5MR54	Brain
GTEX.13NYS.0011.R4b.SM.5MR3O	Brain
GTEX.13O3O.0011.R4b.SM.5KM3F	Brain
GTEX.13O3Q.0011.R4a.SM.5P9H2	Brain
GTEX.13OVH.0011.R4a.SM.5KM3W	Brain
GTEX.13RTJ.0011.R4b.SM.5PNX1	Brain
GTEX.13SLW.0011.R4b.SM.5S2W2	Brain
GTEX.13SLX.0011.R4a.SM.5O9BJ	Brain
GTEX.13VXU.0011.R4b.SM.5O9CI	Brain
GTEX.13X6I.0011.R4b.SM.5PNU9	Brain
GTEX.13X6J.0011.R4b.SM.5P9K4	Brain
GTEX.13X6K.0011.R4b.SM.5P9HO	Brain
GTEX.1445S.0011.R4a.SM.5PNWN	Brain
GTEX.144GL.0011.R4a.SM.5PNUI	Brain
GTEX.145LS.0011.R4b.SM.5S2UT	Brain
GTEX.12ZZW.0011.R3a.SM.5DUWW	Brain
GTEX.12ZZX.0011.R3b.SM.5EGLH	Brain
GTEX.1313W.0011.R3a.SM.5EGLI	Brain
GTEX.131XH.0011.R3b.SM.5DUWM	Brain
GTEX.131YS.0011.R3b.SM.5DUXB	Brain
GTEX.139T8.0011.R3b.SM.5HL4R	Brain
GTEX.139TT.0011.R3b.SM.5K7VL	Brain
GTEX.13CF2.0011.R3b.SM.5LZZ6	Brain
GTEX.13CIG.0011.R3b.SM.5K7XF	Brain
GTEX.13CZV.0011.R3a.SM.5KM27	Brain
GTEX.13FHO.0011.R3b.SM.5K7YA	Brain
GTEX.13FLV.0011.R3b.SM.5LZYP	Brain
GTEX.13IVO.0011.R3b.SM.5IJBJ	Brain
GTEX.13JVG.0011.R3b.SM.5LZXF	Brain
GTEX.13N1W.0011.R3a.SM.5MR5E	Brain
GTEX.13N2G.0011.R3b.SM.5MR5G	Brain
GTEX.13NYS.0011.R3b.SM.5MR41	Brain
GTEX.13O3O.0011.R3b.SM.5KM3R	Brain
GTEX.13O3Q.0011.R3a.SM.5P9H3	Brain
GTEX.13OVH.0011.R3a.SM.5KM49	Brain
GTEX.13RTJ.0011.R3a.SM.5PNX7	Brain
GTEX.13RTL.0011.R3a.SM.5P9JP	Brain
GTEX.13S7M.0011.R3a.SM.5PNX2	Brain
GTEX.13SLW.0011.R3b.SM.5SI6Y	Brain
GTEX.13VXU.0011.R3b.SM.5O9CU	Brain
GTEX.13X6I.0011.R3b.SM.5P9HM	Brain
GTEX.13X6J.0011.R3b.SM.5P9K5	Brain
GTEX.13X6K.0011.R3b.SM.5PNUD	Brain
GTEX.1445S.0011.R3a.SM.5P9HY	Brain
GTEX.144GL.0011.R3a.SM.5P9HP	Brain
GTEX.145LS.0011.R3a.SM.5S2VJ	Brain
GTEX.145LU.0011.R3a.SM.5P9K2	Brain
GTEX.11OF3.0011.R5a.SM.57WB4	Brain
GTEX.11TUW.0011.R5b.SM.5BC6Q	Brain
GTEX.12ZZW.0011.R5a.SM.5DUVN	Brain
